id;title;description;date_created
<<<<<<< HEAD
1;Industrial;connect Markets Chief;2019-06-08T21:21:06
2;National Awesome sky blue;Tactics;2019-06-08T15:25:57
3;compress South Georgia and the South Sandwich Islands;compelling mission-critical;2019-06-08T22:40:36
4;Plastic;Car Industrial deliverables;2019-06-09T02:13:27
5;24 hour;overriding;2019-06-08T18:44:12
6;application quantify Unbranded Plastic Tuna;Internal;2019-06-08T15:18:02
7;Highway Ergonomic;moratorium moratorium;2019-06-08T18:11:27
8;withdrawal COM;embrace Developer;2019-06-08T15:19:39
9;hard drive Robust Networked;Poland;2019-06-09T01:26:25
10;Grocery;red;2019-06-08T14:12:11
=======
1;Industrial;connect Markets Chief;2019-07-16
2;National Awesome sky blue;Tactics;2019-07-15
3;compress South Georgia and the South Sandwich Islands;compelling mission-critical;2019-07-16
4;Plastic;Car Industrial deliverables;2019-07-16
5;24 hour;overriding;2019-07-15
6;application quantify Unbranded Plastic Tuna;Internal;2019-07-15
7;Highway Ergonomic;moratorium moratorium;2019-07-15
8;withdrawal COM;embrace Developer;2019-07-15
9;hard drive Robust Networked;Poland;2019-07-16
10;Grocery;red;2019-07-15
>>>>>>> jhipster_upgrade
